업소일련번호,업소명,동명,주소,면적(㎡),전화번호,업종,품목코드,품목,가격(원),점검일자,구명
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,경양식,1.41862E+12,돈가스,7000,00:00.0,강서구
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,한식,1.41862E+12,김밥,3200,00:00.0,강서구
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,한식,1.41862E+12,비빔밥,6000,00:00.0,강서구
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,한식,1.41862E+12,냉면(물),6000,00:00.0,강서구
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,한식,1.41862E+12,김치찌개 백반,7500,00:00.0,강서구
1.41889E+12,김가네김밥,염창동,서울특별시 강서구 공항대로 635 (염창동),,02-2658-6339,한식,1.41862E+12,조리라면,3500,00:00.0,강서구
1.41889E+12,네네치킨,화곡동,서울특별시 강서구 강서로12길 40 (화곡동),,02-2601-4492,기타음식업,1.41862E+12,치킨,15000,00:00.0,강서구
1.48341E+12,스타벅스,화곡동,서울특별시 강서구 등촌로 57 (화곡동 스타벅스화곡점),,02-2648-3257,다방업,1.41862E+12,커피(외식),4100,00:00.0,강서구
1.48341E+12,스타벅스,화곡동,서울특별시 강서구 등촌로 57 (화곡동 스타벅스화곡점),,02-2648-3257,다방업,1.41862E+12,다방 국산차(녹차),4900,00:00.0,강서구
1.62279E+12,하니헤어,화곡동,서울특별시 강서구 강서로17길 35 (화곡동 우성빌딩),,02-2604-2599,미용업,1.41862E+12,미용료 (커트),8000,00:00.0,강서구
1.62279E+12,하니헤어,화곡동,서울특별시 강서구 강서로17길 35 (화곡동 우성빌딩),,02-2604-2599,미용업,1.41862E+12,미용료 (파마),20000,00:00.0,강서구
1.41889E+12,손경애미용실,가양동,서울특별시 강서구 양천로57길 36 (가양동) B상가,,02-2659-2045,미용업,1.41862E+12,미용료 (커트),10000,00:00.0,강서구
1.41889E+12,손경애미용실,가양동,서울특별시 강서구 양천로57길 36 (가양동) B상가,,02-2659-2045,미용업,1.41862E+12,미용료 (파마),30000,00:00.0,강서구
1.41889E+12,한솔 이발관,염창동,서울특별시 강서구 공항대로61길 36 (염창동),,02-2659-8498,이용업,1.41862E+12,이용료(커트),9000,00:00.0,강서구
1.41889E+12,나이스가이,방화동,서울특별시 강서구 금낭화로 136 (방화동),,2663-5859,이용업,1.41862E+12,이용료(커트),8000,00:00.0,강서구
1.41889E+12,에덴옥사우나,방화동,서울특별시 강서구 방화동로7길 6 (방화동),,02-2664-6728,목욕업,1.41862E+12,목욕료 (성인),7000,00:00.0,강서구
1.41889E+12,대원세탁,화곡동,서울특별시 강서구 화곡로21길 53 (화곡동),,02-2605-0306,세탁업,1.41862E+12,양복 세탁료,7000,00:00.0,강서구
1.41889E+12,장미사우나,화곡동,서울특별시 강서구 까치산로 134 (화곡동),,02-2696-8694,목욕업,1.41862E+12,목욕료 (성인),6000,00:00.0,강서구
1.41889E+12,백조세탁,수유동,서울특별시 강북구 노해로 125 (수유동),,02-905-2964,기타서비스,1.41862E+12,의복수선료,4000,00:00.0,강북구
1.41889E+12,백조세탁,수유동,서울특별시 강북구 노해로 125 (수유동),,02-905-2964,세탁업,1.41862E+12,양복 세탁료,7000,00:00.0,강북구
1.41889E+12,복천탕,미아동,서울특별시 강북구 솔샘로64길 11 (미아동 복천탕),,02-981-8575,목욕업,1.41862E+12,목욕료 (성인),5000,00:00.0,강북구
1.41889E+12,한일사우나,번동,서울특별시 강북구 오현로32길 4-8 (번동),,988-1709,목욕업,1.41862E+12,목욕료 (성인),6000,00:00.0,강북구
1.41889E+12,강북이발,미아동,서울특별시 강북구 도봉로38길 16-4 (미아동),,02-987-9081,이용업,1.41862E+12,이용료(커트),7000,00:00.0,강북구
1.41889E+12,극동이발관,수유동,서울특별시 강북구 인수봉로72길 42 (수유동 극동아파트),,02-903-5326,이용업,1.41862E+12,이용료(커트),7000,00:00.0,강북구
1.41889E+12,제이제이헤어,미아동,서울특별시 강북구 삼양로47길 21 (미아동),,02-981-2282,미용업,1.41862E+12,미용료 (파마),29000,00:00.0,강북구
1.41889E+12,제이제이헤어,미아동,서울특별시 강북구 삼양로47길 21 (미아동),,02-981-2282,미용업,1.41862E+12,미용료 (커트),10000,00:00.0,강북구
1.41889E+12,수헤어,미아동,서울특별시 강북구 도봉로29길 46 (미아동),,02-0000-0000,미용업,1.41862E+12,미용료 (파마),35000,00:00.0,강북구
1.41889E+12,수헤어,미아동,서울특별시 강북구 도봉로29길 46 (미아동),,02-0000-0000,미용업,1.41862E+12,미용료 (커트),12000,00:00.0,강북구
1.41889E+12,양지커피,수유동,서울특별시 강북구 한천로 1086 (수유동),,993-1524,다방업,1.41862E+12,다방 국산차(녹차),3000,00:00.0,강북구
1.41889E+12,양지커피,수유동,서울특별시 강북구 한천로 1086 (수유동),,993-1524,다방업,1.41862E+12,커피(외식),3000,00:00.0,강북구
1.51315E+12,가마치통닭,수유동,서울특별시 강북구 인수봉로 155-1 (수유동),,02-981-0079,기타음식업,1.41862E+12,치킨,12000,00:00.0,강북구
1.51315E+12,이디야 카페,수유동,서울특별시 강북구 삼양로 293 (수유동 서영프라자),,02-980-7799,다방업,1.41862E+12,다방 국산차(녹차),2800,00:00.0,강북구
1.51315E+12,이디야 카페,수유동,서울특별시 강북구 삼양로 293 (수유동 서영프라자),,02-980-7799,다방업,1.41862E+12,커피(외식),3200,00:00.0,강북구
1.41889E+12,함지칼국수,미아동,서울특별시 강북구 솔매로 105 (미아동),,02-985-2080,한식,1.41862E+12,냉면(물),6000,00:00.0,강북구
1.41889E+12,함지칼국수,미아동,서울특별시 강북구 솔매로 105 (미아동),,02-985-2080,한식,1.41862E+12,칼국수,6000,00:00.0,강북구
1.41889E+12,우리식당,번동,서울특별시 강북구 한천로105길 33 (주공1단지상가) (번동),,988-0430,한식,1.41862E+12,된장찌개 백반,7000,00:00.0,강북구
1.41889E+12,우리식당,번동,서울특별시 강북구 한천로105길 33 (주공1단지상가) (번동),,988-0430,한식,1.41862E+12,김치찌개 백반,7000,00:00.0,강북구
1.41889E+12,우리식당,번동,서울특별시 강북구 한천로105길 33 (주공1단지상가) (번동),,988-0430,한식,1.41862E+12,냉면(물),7000,00:00.0,강북구
1.41889E+12,우리식당,번동,서울특별시 강북구 한천로105길 33 (주공1단지상가) (번동),,988-0430,한식,1.41862E+12,비빔밥,7000,00:00.0,강북구
1.41889E+12,우리식당,번동,서울특별시 강북구 한천로105길 33 (주공1단지상가) (번동),,988-0430,경양식,1.41862E+12,돈가스,8000,00:00.0,강북구
1.41889E+12,처가집통닭,우이동,서울특별시 강북구 삼양로 520 (우이동 원피아노학원),,02-902-1870,기타음식업,1.41862E+12,치킨,16000,00:00.0,강북구
1.41889E+12,스시훈,번동,서울특별시 강북구 오패산로 402 (번동),,02-999-3745,일식,1.41862E+12,생선초밥,14000,00:00.0,강북구
1.41889E+12,스시연,번동,서울특별시 강북구 한천로 1024 (번동),,991-9500,일식,1.41862E+12,생선초밥,11000,00:00.0,강북구
1.5508E+12,고메당,번동,서울특별시 강북구 덕릉로40길 79 (번동 대명빌딩),,02-988-8577,경양식,1.41862E+12,돈가스,7500,00:00.0,강북구
1.41889E+12,이삭토스트,미아동,서울특별시 강북구 도봉로 186 (미아동 제이슨빌딩),,02-988-7724,다방업,1.41862E+12,커피(외식),2500,00:00.0,강북구
1.41889E+12,피자스쿨,번동,서울특별시 강북구 오패산로 405 (번동),,02-999-0308,기타음식업,1.41862E+12,피자,6000,00:00.0,강북구
1.41889E+12,홍콩반점,수유동,서울특별시 강북구 수유로 84 (수유동),,02-905-0410,중식,1.41862E+12,자장면,5000,00:00.0,강북구
1.41889E+12,홍콩반점,수유동,서울특별시 강북구 수유로 84 (수유동),,02-905-0410,중식,1.41862E+12,탕수육,13000,00:00.0,강북구
1.41889E+12,홍콩반점,수유동,서울특별시 강북구 수유로 84 (수유동),,02-905-0410,중식,1.41862E+12,짬뽕,6000,00:00.0,강북구
1.44524E+12,후아닝,수유동,서울특별시 강북구 노해로3길 59 (수유동),,02-994-3335,중식,1.41862E+12,자장면,4000,00:00.0,강북구
1.44524E+12,후아닝,수유동,서울특별시 강북구 노해로3길 59 (수유동),,02-994-3335,중식,1.41862E+12,탕수육,17000,00:00.0,강북구
1.44524E+12,후아닝,수유동,서울특별시 강북구 노해로3길 59 (수유동),,02-994-3335,중식,1.41862E+12,짬뽕,6000,00:00.0,강북구
1.41889E+12,딸만셋의만두와냉면,번동,서울특별시 강북구 한천로109길 68 (번동),,984-3006,한식,1.41862E+12,갈비탕,9000,00:00.0,강북구
1.41889E+12,딸만셋의만두와냉면,번동,서울특별시 강북구 한천로109길 68 (번동),,984-3006,한식,1.41862E+12,설렁탕,7000,00:00.0,강북구
1.41889E+12,딸만셋의만두와냉면,번동,서울특별시 강북구 한천로109길 68 (번동),,984-3006,한식,1.41862E+12,냉면(물),6500,00:00.0,강북구
1.41889E+12,찌개마을,미아동,서울특별시 강북구 덕릉로28길 49 (미아동 정우빌딩),,02-980-0133,한식,1.41862E+12,된장찌개 백반,6000,00:00.0,강북구
1.41889E+12,찌개마을,미아동,서울특별시 강북구 덕릉로28길 49 (미아동 정우빌딩),,02-980-0133,한식,1.41862E+12,김치찌개 백반,6000,00:00.0,강북구
1.41889E+12,부안생고기집,수유동,서울특별시 강북구 수유로 14 (수유동),,986-1923,한식,1.41862E+12,된장찌개 백반,6000,00:00.0,강북구
1.41889E+12,부안생고기집,수유동,서울특별시 강북구 수유로 14 (수유동),,986-1923,한식,1.41862E+12,삼겹살,11000,00:00.0,강북구
1.41889E+12,부안생고기집,수유동,서울특별시 강북구 수유로 14 (수유동),,986-1923,한식,1.41862E+12,김치찌개 백반,6000,00:00.0,강북구
1.41889E+12,무한장어,하왕십리동,서울특별시 성동구 왕십리로 327 (하왕십리동),,02-2296-6404,한식,1.41862E+12,냉면(물),5000,00:00.0,성동구
1.41889E+12,무한장어,하왕십리동,서울특별시 성동구 왕십리로 327 (하왕십리동),,02-2296-6404,한식,1.41862E+12,김치찌개 백반,6000,00:00.0,성동구
1.41889E+12,무한장어,하왕십리동,서울특별시 성동구 왕십리로 327 (하왕십리동),,02-2296-6404,한식,1.41862E+12,된장찌개 백반,6000,00:00.0,성동구
1.41889E+12,떳다철가방,용답동,서울특별시 성동구 용답중앙15길 15-6 (용답동),,2242-9905,중식,1.41862E+12,짬뽕,5500,00:00.0,성동구
1.41889E+12,떳다철가방,용답동,서울특별시 성동구 용답중앙15길 15-6 (용답동),,2242-9905,중식,1.41862E+12,탕수육,20000,00:00.0,성동구
1.41889E+12,떳다철가방,용답동,서울특별시 성동구 용답중앙15길 15-6 (용답동),,2242-9905,중식,1.41862E+12,자장면,5000,00:00.0,성동구
1.41889E+12,교촌치킨,응봉동,서울특별시 성동구 독서당로 398 (응봉동 대림아파트),,2299-9965,기타음식업,1.41862E+12,치킨,16500,00:00.0,성동구
1.61431E+12,60계치킨,행당동,서울특별시 성동구 행당로 76 (행당동 행당 한진타운 단지상가),33,02-2282-6082,기타음식업,1.41862E+12,치킨,16900,00:00.0,성동구
1.41889E+12,승애미용실,행당동,서울특별시 성동구 고산자로6가길 20 (행당동),,02-2239-2896,미용업,1.41862E+12,미용료 (커트),15000,00:00.0,성동구
1.41889E+12,승애미용실,행당동,서울특별시 성동구 고산자로6가길 20 (행당동),,02-2239-2896,미용업,1.41862E+12,미용료 (파마),50000,00:00.0,성동구
1.51965E+12,이하정 다온 미용실,하왕십리동,서울특별시 성동구 무학봉길 35 (하왕십리동 왕십리KCC스위첸),46,222963982,미용업,1.41862E+12,미용료 (커트),15000,00:00.0,성동구
1.51965E+12,이하정 다온 미용실,하왕십리동,서울특별시 성동구 무학봉길 35 (하왕십리동 왕십리KCC스위첸),46,222963982,미용업,1.41862E+12,미용료 (파마),40000,00:00.0,성동구
1.41889E+12,대림복지이용원,행당동,서울특별시 성동구 행당로 79 (행당동 행당동대림아파트),,6213-0502,이용업,1.41862E+12,이용료(커트),8000,00:00.0,성동구
1.41889E+12,CGV,행당동,서울특별시 성동구 왕십리광장로 17 (행당동),,1544-1122,영화관람업,1.41862E+12,영화 관람료,13000,00:00.0,성동구
1.41889E+12,금룡,행당동,서울특별시 성동구 마조로 21 (행당동),,02-2299-4676,중식,1.41862E+12,짬뽕,5000,00:00.0,성동구
1.41889E+12,금룡,행당동,서울특별시 성동구 마조로 21 (행당동),,02-2299-4676,중식,1.41862E+12,탕수육,15000,00:00.0,성동구
1.41889E+12,금룡,행당동,서울특별시 성동구 마조로 21 (행당동),,02-2299-4676,중식,1.41862E+12,자장면,4500,00:00.0,성동구
1.56618E+12,돈가츠야,행당동,서울특별시 성동구 행당로 84 (행당동 행당 한진타운 종합상가),17,02-2295-8338,경양식,1.41862E+12,돈가스,8500,00:00.0,성동구
1.41889E+12,HOLLYSCOFFEE,천호동,서울특별시 강동구 올림픽로70길 61 (천호동),0,486-5396,다방업,1.41862E+12,다방 국산차(녹차),4300,00:00.0,강동구
1.41889E+12,CGV 아트레온,신촌동,서울특별시 서대문구 신촌로 129 (창천동),,1544-1122,영화관람업,1.41862E+12,영화 관람료,10000,00:00.0,서대문구
1.41889E+12,메가박스,신촌동,서울특별시 서대문구 신촌역로 30 (신촌동) 밀리오레 5층,47,070-7016-3414,영화관람업,1.41862E+12,영화 관람료,10000,00:00.0,서대문구
1.41889E+12,d호텔,신촌동,서울특별시 서대문구 연세로2길 13 (창천동),223,02-313-7999,숙박업,1.41862E+12,숙박료 (호텔),50000,00:00.0,서대문구
1.41889E+12,서울장여관,남가좌동,서울특별시 서대문구 수색로4길 3-12 (남가좌동),70,02-304-8372,숙박업,1.41862E+12,숙박료 (여관),25000,00:00.0,서대문구
1.41889E+12,옷수선,북가좌동,서울특별시 서대문구 응암로 28   한양상가 동(북가좌동 연희한양아파트),,02-303-6487,기타서비스,1.41862E+12,의복수선료,5000,00:00.0,서대문구
1.41889E+12,명품세탁,홍은동,서울특별시 서대문구 홍은중앙로1길 32 1층 (홍은동),0,02-391-9007,기타서비스,1.41862E+12,의복수선료,5000,00:00.0,서대문구
1.41889E+12,명품세탁,홍은동,서울특별시 서대문구 홍은중앙로1길 32 1층 (홍은동),0,02-391-9007,세탁업,1.41862E+12,양복 세탁료,8000,00:00.0,서대문구
1.41889E+12,마을탕,홍제동,서울특별시 서대문구 세무서길 103 (홍제동),60,02-391-5587,목욕업,1.41862E+12,목욕료 (성인),5000,00:00.0,서대문구
1.41889E+12,스카이옥사우나,북가좌동,서울특별시 서대문구 증가로 193 (북가좌동),0,02-374-7555,목욕업,1.41862E+12,목욕료 (성인),7000,00:00.0,서대문구
1.41889E+12,능수이용원,북아현동,서울특별시 서대문구 북아현로14길 21 (북아현동),0,02-392-4868,이용업,1.41862E+12,이용료(커트),7000,00:00.0,서대문구
1.41889E+12,가족이발,북가좌동,서울특별시 서대문구 거북골로14길 5 (북가좌동 북가좌삼호아파트),0,02-374-4323,이용업,1.41862E+12,이용료(커트),10000,00:00.0,서대문구
1.47011E+12,한마음헤어센스,북가좌동,서울특별시 서대문구 거북골로18길 59 (북가좌동),,02-376-2076,미용업,1.41862E+12,미용료 (파마),30000,00:00.0,서대문구
1.47011E+12,한마음헤어센스,북가좌동,서울특별시 서대문구 거북골로18길 59 (북가좌동),,02-376-2076,미용업,1.41862E+12,미용료 (커트),10000,00:00.0,서대문구
1.41889E+12,굿헤어,신촌동,서울특별시 서대문구 이화여대1길 22 (대현동),,02-362-3555,미용업,1.41862E+12,미용료 (파마),60000,00:00.0,서대문구
1.41889E+12,굿헤어,신촌동,서울특별시 서대문구 이화여대1길 22 (대현동),,02-362-3555,미용업,1.41862E+12,미용료 (커트),20000,00:00.0,서대문구
1.46112E+12,오리전문점,미근동,서울특별시 서대문구 통일로 107-6 (미근동),,02-313-5250,한식,1.41862E+12,삼계탕,15000,00:00.0,서대문구
1.41889E+12,대남소곱창구이,냉천동,서울특별시 서대문구 통일로9길 8 (냉천동),,02-363-3973,한식,1.41862E+12,김치찌개 백반,7000,00:00.0,서대문구
1.41889E+12,난향,신촌동,서울특별시 서대문구 신촌로 67 (창천동 거촌빌딩),16,322-6900,중식,1.41862E+12,짬뽕,10000,00:00.0,서대문구
1.41889E+12,난향,신촌동,서울특별시 서대문구 신촌로 67 (창천동 거촌빌딩),16,322-6900,중식,1.41862E+12,탕수육,24000,00:00.0,서대문구
1.41889E+12,난향,신촌동,서울특별시 서대문구 신촌로 67 (창천동 거촌빌딩),16,322-6900,중식,1.41862E+12,자장면,8000,00:00.0,서대문구
1.41889E+12,영화반점,북아현동,서울특별시 서대문구 북아현로2길 5 (북아현동),20,02-362-0567,중식,1.41862E+12,짬뽕,6000,00:00.0,서대문구
1.41889E+12,영화반점,북아현동,서울특별시 서대문구 북아현로2길 5 (북아현동),20,02-362-0567,중식,1.41862E+12,탕수육,18000,00:00.0,서대문구
1.41889E+12,영화반점,북아현동,서울특별시 서대문구 북아현로2길 5 (북아현동),20,02-362-0567,중식,1.41862E+12,자장면,5000,00:00.0,서대문구
1.41889E+12,스타벅스,신촌동,서울특별시 서대문구 신촌로 121 (창천동),21,02-758-8090,다방업,1.41862E+12,커피(외식),4100,00:00.0,서대문구
1.49819E+12,청년다방,대현동,서울특별시 서대문구 신촌로 139 (대현동),,1666-4593,경양식,1.41862E+12,돈가스,7500,00:00.0,서대문구
1.49819E+12,청년다방,대현동,서울특별시 서대문구 신촌로 139 (대현동),,1666-4593,다방업,1.41862E+12,커피(외식),1500,00:00.0,서대문구
1.41889E+12,만해,연희동,서울특별시 서대문구 연희로 218 (연희동 성안빌딩),20,02-326-0215,일식,1.41862E+12,생선초밥,25000,00:00.0,서대문구
1.41889E+12,모아분식,홍은동,서울특별시 서대문구 세검정로1길 109 (홍은동),0,3967- 682,한식,1.41862E+12,김밥,2500,00:00.0,서대문구
1.41889E+12,모아분식,홍은동,서울특별시 서대문구 세검정로1길 109 (홍은동),0,3967- 682,한식,1.41862E+12,비빔밥,6000,00:00.0,서대문구
1.41889E+12,모아분식,홍은동,서울특별시 서대문구 세검정로1길 109 (홍은동),0,3967- 682,한식,1.41862E+12,냉면(물),6000,00:00.0,서대문구
1.41889E+12,모아분식,홍은동,서울특별시 서대문구 세검정로1길 109 (홍은동),0,3967- 682,한식,1.41862E+12,조리라면,3500,00:00.0,서대문구
1.41889E+12,삼번가,연희동,서울특별시 서대문구 증가로 13 (연희동),30,02-333-5574,경양식,1.41862E+12,돈가스,7500,00:00.0,서대문구
1.41889E+12,삼번가,연희동,서울특별시 서대문구 증가로 13 (연희동),30,02-333-5574,한식,1.41862E+12,냉면(물),6500,00:00.0,서대문구
1.41889E+12,페리카나치킨,홍은동,서울특별시 서대문구 모래내로 364 (홍은동),13,02-394-9454,기타음식업,1.41862E+12,치킨,16000,00:00.0,서대문구
1.49881E+12,파우제,홍제동,서울특별시 서대문구 세무서1길 28 (홍제동),,02-395-7100,다방업,1.41862E+12,다방 국산차(녹차),3000,00:00.0,서대문구
1.49881E+12,파우제,홍제동,서울특별시 서대문구 세무서1길 28 (홍제동),,02-395-7100,다방업,1.41862E+12,커피(외식),2500,00:00.0,서대문구
1.41889E+12,HOLLYSCOFFEE,천호동,서울특별시 강동구 올림픽로70길 61 (천호동),0,486-5396,다방업,1.41862E+12,커피(외식),4100,00:00.0,강동구
1.41889E+12,선다방,천호동,서울특별시 강동구 구천면로 258 (천호동),0,02-485-9090,다방업,1.41862E+12,커피(외식),3000,00:00.0,강동구
1.41889E+12,선다방,천호동,서울특별시 강동구 구천면로 258 (천호동),0,02-485-9090,다방업,1.41862E+12,다방 국산차(녹차),3500,00:00.0,강동구
1.41889E+12,헤어캠퍼스,성내동,서울특별시 강동구 풍성로37가길 52 (성내동),0,02-484-0312,미용업,1.41862E+12,미용료 (커트),6000,00:00.0,강동구
1.41889E+12,헤어캠퍼스,성내동,서울특별시 강동구 풍성로37가길 52 (성내동),0,02-484-0312,미용업,1.41862E+12,미용료 (파마),20000,00:00.0,강동구
1.41889E+12,청아이용원,성내동,서울특별시 강동구 양재대로 1335 (성내동),0,02-482-7978,이용업,1.41862E+12,이용료(커트),12000,00:00.0,강동구
1.41889E+12,충무이용원,암사동,서울특별시 강동구 암사길 8 (암사동),0,429-9101,이용업,1.41862E+12,이용료(커트),13000,00:00.0,강동구
1.41889E+12,엔돌핀보석사우나,길동,서울특별시 강동구 양재대로111길 15 (길동),0,02-485-6231,목욕업,1.41862E+12,찜질방이용료,9500,00:00.0,강동구
1.41889E+12,엔돌핀보석사우나,길동,서울특별시 강동구 양재대로111길 15 (길동),0,02-485-6231,목욕업,1.41862E+12,목욕료 (성인),8000,00:00.0,강동구
1.41889E+12,한보사우나,둔촌동,서울특별시 강동구 천호대로 1200 (둔촌동),,473-9092,목욕업,1.41862E+12,목욕료 (성인),6500,00:00.0,강동구
1.41889E+12,길동 세탁,길동,서울특별시 강동구 명일로 273 (길동),,482-8327,세탁업,1.41862E+12,양복 세탁료,6000,00:00.0,강동구
1.41889E+12,길동 세탁,길동,서울특별시 강동구 명일로 273 (길동),,482-8327,기타서비스,1.41862E+12,의복수선료,3000,00:00.0,강동구
1.41889E+12,M모텔,천호동,서울특별시 강동구 진황도로23길 12 (천호동),0,02-470-1761,숙박업,1.41862E+12,숙박료 (여관),35000,00:00.0,강동구
1.41889E+12,별나라모텔,성내동,서울특별시 강동구 양재대로 1343 (성내동),0,02-482-2043,숙박업,1.41862E+12,숙박료 (여관),40000,00:00.0,강동구
1.41889E+12,롯데시네마 강동,성내동,서울특별시 강동구 천호옛길 85 (성내동 영화관씨네일레븐),,02-487-3411,영화관람업,1.41862E+12,영화 관람료,13000,00:00.0,강동구
